ticker,timestamp,date,time,div_type,direction,osc_value,entry,stop,risk,conf_bar,target,exit,exit_reason,pnl_pts,pnl_r
QQQ,2021-09-13 10:20:00,2021-09-13,10:20,bull,long,-108.45,375.24,374.57,0.67,29848,376.58,376.58,target,1.34,2.0
QQQ,2021-11-01 10:00:00,2021-11-01,10:00,hidden_bull,long,-114.24,385.22,385.13,0.09,31246,385.4,385.13,stop,-0.09,-1.0
IWM,2021-11-01 12:10:00,2021-11-01,12:10,bear,short,117.69,233.37,233.41,0.04,34581,233.29,233.41,stop,-0.04,-1.0
IWM,2021-11-03 14:50:00,2021-11-03,14:50,bear,short,103.78,239.11,239.44,0.33,34677,238.45,238.45,target,0.66,2.0
QQQ,2021-12-13 11:50:00,2021-12-13,11:50,bull,long,-103.96,393.45,393.17,0.28,32400,394.01,393.17,stop,-0.28,-1.0
QQQ,2021-12-16 11:20:00,2021-12-16,11:20,bull,long,-113.38,391.63,390.36,1.27,32517,394.17,390.36,stop,-1.27,-1.0
SPY,2021-12-27 12:30:00,2021-12-27,12:30,bear,short,108.56,475.64,475.69,0.05,39976,475.54,475.69,stop,-0.05,-1.0
SPY,2021-12-27 14:00:00,2021-12-27,14:00,bear,short,101.48,476.26,476.31,0.05,39985,476.16,476.31,stop,-0.05,-1.0
SPY,2022-01-05 16:00:00,2022-01-05,16:00,bull,long,-133.36,468.78,468.28,0.5,40277,469.78,468.78,eod,0.0,0.0
SPY,2022-01-11 09:50:00,2022-01-11,09:50,hidden_bull,long,-120.46,462.86,462.23,0.63,40400,464.12,464.12,target,1.26,2.0
IWM,2022-04-08 10:00:00,2022-04-08,10:00,hidden_bull,long,-149.17,198.3,197.54,0.76,38951,199.82,199.82,target,1.52,2.0
IWM,2022-04-19 11:50:00,2022-04-19,11:50,bear,short,145.5,201.95,202.1,0.15,39202,201.65,202.1,stop,-0.15,-1.0
IWM,2022-04-21 14:20:00,2022-04-21,14:20,bull,long,-101.27,198.51,198.31,0.2,39297,198.91,198.31,stop,-0.2,-1.0
QQQ,2022-04-26 11:20:00,2022-04-26,11:20,bull,long,-136.29,320.21,319.39,0.82,36077,321.85,319.39,stop,-0.82,-1.0
IWM,2022-05-05 09:50:00,2022-05-05,09:50,hidden_bull,long,-126.35,190.23,190.06,0.17,39670,190.57,190.06,stop,-0.17,-1.0
SPY,2022-05-05 10:10:00,2022-05-05,10:10,hidden_bull,long,-135.83,419.63,418.97,0.66,43562,420.95,418.97,stop,-0.66,-1.0
QQQ,2022-05-05 10:40:00,2022-05-05,10:40,hidden_bull,long,-190.92,315.63,315.27,0.36,36353,316.35,315.27,stop,-0.36,-1.0
QQQ,2022-05-18 13:30:00,2022-05-18,13:30,bull,long,-102.06,293.5,292.73,0.77,36730,295.04,292.73,stop,-0.77,-1.0
SPY,2022-05-20 12:20:00,2022-05-20,12:20,bull,long,-101.51,384.44,383.57,0.87,44015,386.18,383.57,stop,-0.87,-1.0
IWM,2022-05-20 13:30:00,2022-05-20,13:30,bull,long,-103.75,173.08,171.79,1.29,40132,175.66,175.66,target,2.58,2.0
QQQ,2022-05-26 11:20:00,2022-05-26,11:20,bear,short,104.25,297.56,298.27,0.71,36957,296.14,298.27,stop,-0.71,-1.0
IWM,2022-05-27 12:10:00,2022-05-27,12:10,bear,short,105.06,186.41,186.57,0.16,40324,186.09,186.57,stop,-0.16,-1.0
SPY,2022-06-10 10:30:00,2022-06-10,10:30,bull,long,-136.35,391.79,390.18,1.61,44564,395.01,390.18,stop,-1.61,-1.0
QQQ,2022-06-10 10:30:00,2022-06-10,10:30,bull,long,-134.01,290.38,289.1,1.28,37352,292.94,289.1,stop,-1.28,-1.0
QQQ,2022-07-18 15:00:00,2022-07-18,15:00,bull,long,-112.93,290.39,289.78,0.61,38339,291.61,289.78,stop,-0.61,-1.0
SPY,2022-07-18 15:00:00,2022-07-18,15:00,bull,long,-106.1,383.69,382.97,0.72,45551,385.13,382.97,stop,-0.72,-1.0
IWM,2022-07-19 14:10:00,2022-07-19,14:10,bear,short,107.39,178.77,178.89,0.12,41696,178.53,178.53,target,0.24,2.0
QQQ,2022-07-20 12:10:00,2022-07-20,12:10,bear,short,101.05,304.13,304.24,0.11,38402,303.91,303.91,target,0.22,2.0
IWM,2022-08-10 11:10:00,2022-08-10,11:10,bear,short,103.47,194.79,195.23,0.44,42318,193.91,195.23,stop,-0.44,-1.0
QQQ,2022-09-13 10:50:00,2022-09-13,10:50,bull,long,-146.63,298.26,298.11,0.15,39914,298.56,298.11,stop,-0.15,-1.0
IWM,2022-09-13 10:50:00,2022-09-13,10:50,bull,long,-117.11,183.85,183.64,0.21,43236,184.27,183.64,stop,-0.21,-1.0
SPY,2022-09-13 10:50:00,2022-09-13,10:50,bull,long,-144.58,398.41,398.26,0.15,47126,398.71,398.26,stop,-0.15,-1.0
IWM,2022-09-22 11:00:00,2022-09-22,11:00,bull,long,-110.63,172.04,171.54,0.5,43517,173.04,171.54,stop,-0.5,-1.0
SPY,2022-11-10 11:40:00,2022-11-10,11:40,bear,short,105.43,391.39,391.73,0.34,48811,390.71,391.73,stop,-0.34,-1.0
IWM,2022-12-05 12:00:00,2022-12-05,12:00,bull,long,-128.0,183.54,183.09,0.45,45545,184.44,183.09,stop,-0.45,-1.0
QQQ,2022-12-22 12:40:00,2022-12-22,12:40,bull,long,-134.97,263.76,263.3,0.46,42748,264.68,263.3,stop,-0.46,-1.0
SPY,2022-12-22 12:40:00,2022-12-22,12:40,bull,long,-105.86,376.61,376.31,0.3,49960,377.21,376.31,stop,-0.3,-1.0
IWM,2022-12-22 12:40:00,2022-12-22,12:40,bull,long,-119.03,171.24,171.07,0.17,46069,171.58,171.07,stop,-0.17,-1.0
IWM,2022-12-28 12:20:00,2022-12-28,12:20,bull,long,-113.74,170.98,170.74,0.24,46187,171.46,171.46,target,0.48,2.0
QQQ,2022-12-29 12:00:00,2022-12-29,12:00,bear,short,101.24,266.96,267.4,0.45,42904,266.06,266.06,target,0.9,2.0
SPY,2022-12-29 12:00:00,2022-12-29,12:00,bear,short,100.59,383.94,384.24,0.3,50116,383.34,383.34,target,0.6,2.0
IWM,2022-12-29 12:10:00,2022-12-29,12:10,bear,short,141.04,175.04,175.25,0.21,46226,174.62,174.62,target,0.42,2.0
SPY,2023-01-18 12:30:00,2023-01-18,12:30,bull,long,-104.71,393.82,393.51,0.31,50599,394.44,393.51,stop,-0.31,-1.0
SPY,2023-01-23 10:50:00,2023-01-23,10:50,bear,short,102.36,399.88,399.96,0.08,50709,399.72,399.96,stop,-0.08,-1.0
IWM,2023-02-02 11:00:00,2023-02-02,11:00,bear,short,124.37,198.32,198.68,0.36,47139,197.6,198.68,stop,-0.36,-1.0
IWM,2023-02-21 11:40:00,2023-02-21,11:40,bull,long,-103.79,188.4,188.16,0.23,47623,188.86,188.16,stop,-0.24,-1.043
IWM,2023-03-09 15:20:00,2023-03-09,15:20,bull,long,-112.15,181.88,181.72,0.16,48125,182.2,182.2,target,0.32,2.0
IWM,2023-03-31 10:30:00,2023-03-31,10:30,bear,short,107.85,177.23,177.78,0.55,48736,176.13,177.78,stop,-0.55,-1.0
SPY,2023-04-28 10:30:00,2023-04-28,10:30,bear,short,119.19,413.89,414.81,0.92,53387,412.05,414.81,stop,-0.92,-1.0
IWM,2023-05-01 10:50:00,2023-05-01,10:50,bear,short,101.87,176.74,177.34,0.6,49538,175.54,175.54,target,1.2,2.0
IWM,2023-05-08 10:30:00,2023-05-08,10:30,hidden_bull,long,-110.63,173.71,173.32,0.39,49736,174.49,173.32,stop,-0.39,-1.0
SPY,2023-05-15 10:10:00,2023-05-15,10:10,hidden_bull,long,-103.64,410.55,410.32,0.23,53825,411.01,411.01,target,0.46,2.0
SPY,2023-06-15 11:40:00,2023-06-15,11:40,bear,short,102.32,440.25,441.05,0.8,54714,438.65,438.65,target,1.6,2.0
