ticker,timeframe_min,date,time,div_type,expected_dir,spo_value,entry_price,price_level,move_5b,move_5b_pct,mfe_5b,mae_5b,n_bars_5b,move_15b,move_15b_pct,mfe_15b,mae_15b,n_bars_15b,move_30b,move_30b_pct,mfe_30b,mae_30b,n_bars_30b,move_eod,move_eod_pct,mfe_eod,mae_eod,n_bars_eod
SPY,3,2025-06-30,15:54,bear,down,101.15,618.46,619.15,0.58,0.0938,0.72,0.43,2,0.58,0.0938,0.72,0.43,2,0.58,0.0938,0.72,0.43,2,0.58,0.0938,0.72,0.43,2
SPY,5,2025-07-03,11:15,bear,down,104.74,625.45,625.74,-0.59,-0.0943,0.28,0.6,5,-0.47,-0.0751,0.28,0.63,15,0.51,0.0815,0.58,0.83,22,0.51,0.0815,0.58,0.83,22
SPY,5,2025-07-21,10:30,bear,down,129.8,631.02,631.33,0.0,0.0,0.38,0.12,5,-0.2848,-0.0451,0.38,0.52,15,-0.34,-0.0539,0.485,0.52,30,2.1397,0.3391,2.68,0.52,66
SPY,3,2025-07-21,10:33,bear,down,105.2,631.122,631.39,0.217,0.0344,0.347,0.008,5,0.017,0.0027,0.482,0.093,15,0.0669,0.0106,0.482,0.418,30,2.142,0.3394,2.782,0.418,109
SPY,3,2025-07-21,15:48,bull,up,-118.37,628.94,628.46,0.04,0.0064,0.2089,0.6,4,0.04,0.0064,0.2089,0.6,4,0.04,0.0064,0.2089,0.6,4,0.04,0.0064,0.2089,0.6,4
SPY,5,2025-07-21,15:50,bull,up,-118.22,628.79,628.46,0.0903,0.0144,0.24,0.45,2,0.0903,0.0144,0.24,0.45,2,0.0903,0.0144,0.24,0.45,2,0.0903,0.0144,0.24,0.45,2
SPY,3,2025-07-22,09:54,bull,up,-111.45,627.31,626.56,-0.49,-0.0781,0.12,1.0601,5,0.45,0.0717,0.725,1.0601,15,0.56,0.0893,0.805,1.0601,30,1.37,0.2184,2.42,1.0601,122
SPY,5,2025-07-22,10:05,bull,up,-102.81,627.115,626.2499,0.435,0.0694,0.475,0.395,5,0.69,0.11,1.0,0.395,15,0.37,0.059,1.01,0.395,30,1.795,0.2862,2.615,0.395,71
SPY,3,2025-07-31,09:36,hidden_bull,up,-101.15,638.62,638.56,0.825,0.1292,0.84,0.93,5,0.4,0.0626,1.23,0.93,15,-2.0501,-0.321,1.23,2.1101,30,-6.54,-1.0241,1.23,7.855,128
SPY,5,2025-07-31,13:35,bull,up,-106.88,635.25,634.07,-1.64,-0.2582,0.405,2.185,5,-0.57,-0.0897,0.405,3.82,15,-3.32,-0.5226,0.405,4.485,29,-3.32,-0.5226,0.405,4.485,29
