ticker,date,direction,n_comp,range_high,range_low,range_size,entry_price,stop,target,exit_price,exit_date,risk,pnl_per_share,r_multiple,result,exit_reason
IWM,2019-07-08,long,2,156.34,154.26,2.08,156.21,154.26,160.11,154.26,2019-07-11,1.95,-1.95,-1.0,LOSS,stop
IWM,2019-11-29,long,5,162.54,157.23,5.31,162.41,157.23,172.77,165.98,2019-12-30,5.18,3.57,0.6892,WIN,maxhold
IWM,2020-01-15,long,5,166.45,164.07,2.38,166.15,164.07,170.31,170.31,2020-01-17,2.08,4.16,2.0,WIN,target
IWM,2020-05-27,long,5,134.98,117.18,17.8,141.57,117.18,190.35,138.71,2020-06-29,24.39,-2.86,-0.1173,LOSS,maxhold
IWM,2020-07-22,long,5,147.78,138.64,9.14,147.09,138.64,163.99,155.86,2020-08-24,8.45,8.77,1.0379,WIN,maxhold
IWM,2020-10-09,long,3,161.01,148.99,12.02,163.35,148.99,192.07,176.95,2020-11-09,14.36,13.6,0.9471,WIN,maxhold
IWM,2021-01-08,long,2,206.78,193.07,13.71,209.32,193.07,241.82,223.79,2021-02-08,16.25,14.47,0.8905,WIN,maxhold
IWM,2021-03-11,long,5,225.96,207.21,18.75,229.55,207.21,274.23,222.72,2021-04-12,22.34,-6.83,-0.3057,LOSS,maxhold
IWM,2021-04-27,long,5,225.678,215.24,10.438,228.71,215.24,255.65,215.24,2021-05-11,13.47,-13.47,-1.0,LOSS,stop
IWM,2021-09-03,long,5,227.35,219.69,7.66,228.25,219.69,245.37,219.69,2021-09-14,8.56,-8.56,-1.0,LOSS,stop
IWM,2021-11-02,long,5,230.72,223.5,7.22,234.38,223.5,256.14,223.5,2021-11-26,10.88,-10.88,-1.0,LOSS,stop
IWM,2022-08-01,long,4,183.25,178.05,5.2,185.79,178.05,201.27,201.27,2022-08-16,7.74,15.48,2.0,WIN,target
IWM,2022-12-12,short,5,189.24,179.08,10.16,178.85,189.24,158.07,183.57,2023-01-12,10.39,-4.72,-0.4543,LOSS,maxhold
IWM,2023-03-10,short,5,191.93,185.12,6.81,180.39,191.93,157.31,173.07,2023-04-10,11.54,7.32,0.6343,WIN,maxhold
IWM,2023-06-07,long,5,177.554,172.36,5.194,184.96,172.36,210.16,184.58,2023-07-10,12.6,-0.38,-0.0302,LOSS,maxhold
IWM,2023-07-14,long,2,193.05,187.69,5.36,193.34,187.69,204.64,189.94,2023-08-14,5.65,-3.4,-0.6018,LOSS,maxhold
IWM,2023-08-17,short,1,189.64,188.035,1.605,186.34,189.64,179.74,189.64,2023-08-31,3.3,-3.3,-1.0,LOSS,stop
IWM,2024-02-16,long,5,203.55,192.71,10.84,202.12,192.71,220.94,202.91,2024-03-18,9.41,0.79,0.084,WIN,maxhold
IWM,2024-03-28,long,5,208.95,199.661,9.289,210.08,199.661,230.918,199.661,2024-04-10,10.419,-10.419,-1.0,LOSS,stop
IWM,2024-04-18,short,3,202.91,194.98,7.93,193.7,202.91,175.28,202.91,2024-05-03,9.21,-9.21,-1.0,LOSS,stop
